date,rg_avg,rg_std,az_avg,az_std
2021-01-09,0.0,0.0,0.0,0.0
2021-01-21,-0.027815519323671392,0.08093373784501151,0.07295440821256026,0.44324438116105824
2021-02-02,0.08041779891304335,0.1136695020077219,-0.12045214371980645,0.3792056402744108
2021-02-14,0.28490149456521746,0.1869088557896676,-0.3332955917874397,0.4850648123878704
2021-02-26,0.37792496980676293,0.1892157987238087,-0.5168893417874394,0.4404979023497347
2021-03-10,0.2255057367149758,0.13897483200188598,-0.41815745772946855,0.538796911647883
2021-03-22,-0.06160363828502421,0.11690055414524639,0.2054838466183575,0.4531239575166954
2021-04-03,-0.08824916968599039,0.12289944169307973,0.23358242753623187,0.47409265022150116
2021-04-27,0.39845637077294677,0.20369926207374214,-0.5576690821256041,0.5656308723876466
2021-05-09,0.34584465579710144,0.20118971806854063,-0.3712447161835749,0.5942121142221144
2021-05-21,0.040081521739130335,0.163183232446042,0.04881868961352676,0.6327164739965051
2021-06-02,0.025579332729468607,0.16646399965917036,0.21493810386473416,0.6308446401950241
2021-06-14,0.14434254227053134,0.15103609893157405,-0.23828124999999994,0.7541492494458586
2021-06-26,0.41305291364734315,0.2117243831940751,-0.5529702596618359,0.6938509170372212
2021-07-08,0.5759926026570047,0.3491830534974358,-0.6671006944444443,0.8854025180991019
2021-07-20,0.36555517814009664,0.2150388630567023,-0.2795327596618359,0.9328269051254623
2021-08-01,0.24494263285024157,0.20412806172334125,-0.11354544082125607,0.8969141324311414
2021-08-13,0.21083371074879229,0.20646587169783534,-0.1425875603864734,0.8187277299999183
2021-08-25,0.3558461654589372,0.22443208127889458,-0.32065217391304357,0.9259680054259807
2021-09-06,0.406448143115942,0.2602691215749422,-0.5287401871980677,0.9648669579407518
2021-09-18,0.4486148852657004,0.23898303217428868,-0.5864092693236717,0.947902188707655
2021-09-30,0.32751169987922707,0.21994590638331735,-0.30132850241545894,0.9018254011369277
2021-10-12,0.14973014794685974,0.30247338913800365,-0.17972524154589353,0.7628846673012266
2021-10-24,0.337541515700483,0.18669793373589963,-0.3769248188405797,0.9446789629575311
2021-11-05,0.3801045440821256,0.20317849411306876,-0.5183423913043478,0.9579079732239633
2021-11-17,0.11909344806763274,0.17245288656022206,-0.010794082125603677,0.9202145051023526
2021-11-29,0.047450558574879065,0.17208912980969743,0.1748565821256041,0.8776357788823039
2021-12-11,-0.04094014190821258,0.15608711679464382,0.252566425120773,0.8785749417776993
2021-12-23,0.1719693538647342,0.17227408509473977,-0.17013888888888867,0.7777789572001927
2022-01-04,0.2795893719806761,0.1760708363514941,-0.31089598429951665,0.7237229413957411
